xi;vi1;vi2
0.553;0.446401;0.6827
0.554;0.447084;0.68245
0.555;0.447766;0.6822
0.556;0.448448;0.681951
0.557;0.44913;0.681703
0.558;0.449812;0.681456
0.559;0.450493;0.68121
0.56;0.451174;0.680965
0.561;0.451855;0.68072
0.562;0.452535;0.680476
0.563;0.453216;0.680234
0.564;0.453896;0.679992
0.565;0.454576;0.679751
0.566;0.455255;0.67951
0.567;0.455935;0.679271
0.568;0.456614;0.679032
0.569;0.457293;0.678795
0.57;0.457972;0.678558
0.571;0.45865;0.678322
0.572;0.459328;0.678087
0.573;0.460006;0.677852
0.574;0.460684;0.677619
0.575;0.461361;0.677386
0.576;0.462039;0.677154
0.577;0.462716;0.676923
0.578;0.463393;0.676693
0.579;0.464069;0.676464
0.58;0.464745;0.676236
0.581;0.465422;0.676008
0.582;0.466097;0.675781
0.583;0.466773;0.675555
0.584;0.467449;0.67533
0.585;0.468124;0.675106
0.586;0.468799;0.674882
0.587;0.469474;0.67466
0.588;0.470148;0.674438
0.589;0.470822;0.674217
0.59;0.471497;0.673997
0.591;0.47217;0.673777
0.592;0.472844;0.673559
0.593;0.473518;0.673341
0.594;0.474191;0.673124
0.595;0.474864;0.672908
0.596;0.475537;0.672693
0.597;0.476209;0.672478
0.598;0.476882;0.672265
0.599;0.477554;0.672052
0.6;0.478226;0.67184
0.601;0.478897;0.671628
0.602;0.479569;0.671418
0.603;0.48024;0.671208
0.604;0.480911;0.671
0.605;0.481582;0.670792
0.606;0.482253;0.670584
0.607;0.482923;0.670378
0.608;0.483594;0.670172
0.609;0.484264;0.669968
0.61;0.484934;0.669763
0.611;0.485603;0.66956
0.612;0.486273;0.669358
0.613;0.486942;0.669156
0.614;0.487611;0.668955
0.615;0.48828;0.668755
0.616;0.488949;0.668556
0.617;0.489617;0.668358
0.618;0.490285;0.66816
0.619;0.490953;0.667963
0.62;0.491621;0.667767
0.621;0.492289;0.667572
0.622;0.492956;0.667377
0.623;0.493624;0.667183
0.624;0.494291;0.66699
0.625;0.494958;0.666798
0.626;0.495624;0.666607
0.627;0.496291;0.666416
0.628;0.496957;0.666226
0.629;0.497623;0.666037
0.63;0.498289;0.665849
0.631;0.498955;0.665661
0.632;0.499621;0.665475
0.633;0.500286;0.665289
0.634;0.500951;0.665103
0.635;0.501616;0.664919
0.636;0.502281;0.664735
0.637;0.502946;0.664552
0.638;0.50361;0.66437
0.639;0.504274;0.664189
0.64;0.504938;0.664008
0.641;0.505602;0.663828
0.642;0.506266;0.663649
0.643;0.50693;0.663471
0.644;0.507593;0.663293
0.645;0.508256;0.663116
0.646;0.508919;0.66294
0.647;0.509582;0.662765
0.648;0.510245;0.66259
0.649;0.510907;0.662416
0.65;0.51157;0.662243
0.651;0.512232;0.662071
0.652;0.512894;0.6619
0.653;0.513556;0.661729
0.654;0.514217;0.661559
0.655;0.514879;0.661389
0.656;0.51554;0.661221
0.657;0.516201;0.661053
0.658;0.516862;0.660886
0.659;0.517523;0.660719
0.66;0.518184;0.660554
0.661;0.518844;0.660389
0.662;0.519504;0.660225
0.663;0.520164;0.660061
0.664;0.520824;0.659899
0.665;0.521484;0.659737
0.666;0.522144;0.659576
0.667;0.522803;0.659415
0.668;0.523463;0.659255
0.669;0.524122;0.659096
0.67;0.524781;0.658938
0.671;0.52544;0.65878
0.672;0.526099;0.658624
0.673;0.526757;0.658468
0.674;0.527415;0.658312
0.675;0.528074;0.658158
0.676;0.528732;0.658004
0.677;0.52939;0.65785
0.678;0.530047;0.657698
0.679;0.530705;0.657546
0.68;0.531363;0.657395
0.681;0.53202;0.657245
0.682;0.532677;0.657095
0.683;0.533334;0.656946
0.684;0.533991;0.656798
0.685;0.534648;0.656651
0.686;0.535304;0.656504
0.687;0.535961;0.656358
0.688;0.536617;0.656212
0.689;0.537273;0.656068
0.69;0.537929;0.655924
0.691;0.538585;0.655781
0.692;0.539241;0.655638
0.693;0.539896;0.655496
0.694;0.540552;0.655355
0.695;0.541207;0.655215
0.696;0.541862;0.655075
0.697;0.542517;0.654936
0.698;0.543172;0.654798
0.699;0.543827;0.65466
0.7;0.544481;0.654523
0.701;0.545136;0.654387
0.702;0.54579;0.654252
